anon,comment,commenthidden,lang,minor,parentid,revid,roles,size,suppressed,tags,timestamp,title,user,userhidden
,[[مستخدم:JarBot/التصانیف المعادلة|التصانیف المعادلة]],,ar,,22903760,22903975,main,145197,,,2017-04-01 03:39:34,الحرب على غزة 2014,JarBot,
,,,ar,,22903750,22903760,main,145157,,,2017-04-01 02:44:49,الحرب على غزة 2014,البوعناني حاتم,
,/* مراجع */,,ar,,22195284,22903750,main,145152,,,2017-04-01 02:42:28,الحرب على غزة 2014,البوعناني حاتم,
,بوت: إزالة  تكرر عرض الإحداثيات من مقالات [[:تصنيف:الإحداثيات في ويكي بيانات]],,ar,,21928314,22195284,main,145340,,,2017-01-17 02:49:27,الحرب على غزة 2014,JarBot,
,بوت:أضاف قالب {{ضبط استنادي}},,ar,,21848566,21928314,main,145381,,,2016-12-21 11:01:27,الحرب على غزة 2014,Mr.Ibrahembot,
,روبوت: +[[تصنيف:2014 في فلسطين]] +[[تصنيف:قطاع غزة]] +[[تصنيف:حروب إسرائيل]]  +تنسيقات تجميلية,,ar,,21571330,21848566,main,145355,,,2016-12-11 15:05:21,الحرب على غزة 2014,ASammourBot,
,,,ar,,21571328,21571330,main,145245,,,2016-10-31 23:17:05,الحرب على غزة 2014,Mohammad Kamal Shady,
,,,ar,,21501655,21571328,main,145238,,,2016-10-31 23:15:35,الحرب على غزة 2014,Mohammad Kamal Shady,
,بوت التصانيف المعادلة من التركية (26.1) +ترتيب (12.5): + [[تصنيف:مذابح في فلسطين]]+[[تصنيف:ضربات جوية]],,ar,,21313138,21501655,main,145306,,,2016-10-24 09:05:43,الحرب على غزة 2014,ZkBot,
,بوت:تعريب وسائط [[قالب:مرجع ويب]],,ar,,21291879,21313138,main,145227,,,2016-10-07 17:23:08,الحرب على غزة 2014,Mr.Ibrahembot,
,استبدال قوالب، الأخطاء المصححة: إمرأة ← امرأة (5)، انفاق ← إنفاق (2)، أخر ← آخر (2)، الذى ← الذي، عبدالرزاق ← عبد الرزاق  باستخدام [[Project:أوب|أ...,,ar,,21287976,21291879,main,144871,,,2016-10-05 15:02:44,الحرب على غزة 2014,Ibrahim.ID,
,بوت التصانيف المعادلة (26.1) +ترتيب+تنظيف (12.5): + [[تصنيف:الحرب على غزة 2014]]+[[تصنيف:2014 في قطاع غزة]]+[[تصنيف:هجمات إسرائيلية ضد قطاع غزة]],,ar,,20435806,21287976,main,144802,,,2016-10-05 02:25:08,الحرب على غزة 2014,ZkBot,
,[[WPCleaner]] v1.39b - باستخدام [[وب:فو]] (تصنيف يحوي فراغ),,ar,,20422575,20435806,main,144736,,,2016-07-08 05:30:09,الحرب على غزة 2014,ZkBot,
,روبوت:إزالة الصور غير الموجودة غزة ([[ويكيبيديا:بوت/إزالة الصور غير الموجودة|الکود]]),,ar,,20354501,20422575,main,144740,,,2016-07-06 17:08:12,الحرب على غزة 2014,ZkBot,
,/* أسلحة ومفاجآت */بوت: [[مستخدم:JarBot/التعريب|التعريب (7.9.3.1) V3 J]],,ar,,20331663,20354501,main,146198,,,2016-07-01 16:52:01,الحرب على غزة 2014,JarBot,
,[[ميدياويكي:Gadget-Cat-a-lot|تعديل تصنيفات]]: نقل من [[تصنيف:الصراع الفلسطيني الإسرائيلي]] إلى [[تصنيف:القضية الفلسطينية]],,ar,,20189541,20331663,main,146197,,,2016-06-29 15:06:36,الحرب على غزة 2014,مصعب,
,/* 24 يوليو */بوت: [[مستخدم:JarBot/التعريب|التعريب (5.6.6.6) V1 R]],,ar,,20114294,20189541,main,146216,,,2016-06-16 16:02:05,الحرب على غزة 2014,JarBot,
,/* ردود الفعل */,,ar,,19834625,20114294,main,146202,,,2016-06-11 14:18:44,الحرب على غزة 2014,Reza Amper,
,بوت: تهذيب/[[مستخدم:SHBot|وسوم صيانة]],,ar,,19682186,19834625,main,146350,,,2016-05-23 14:39:39,الحرب على غزة 2014,SHBot,
,/* 3 أغسطس */,,ar,,19682161,19682186,main,146583,,,2016-05-20 23:01:35,الحرب على غزة 2014,فلسطين بلادي,
,/* 2 أغسطس */,,ar,,19682049,19682161,main,145224,,,2016-05-20 22:57:38,الحرب على غزة 2014,فلسطين بلادي,
,/* 2 أغسطس */,,ar,,19681994,19682049,main,144210,,,2016-05-20 22:52:29,الحرب على غزة 2014,فلسطين بلادي,
,/* 1 أغسطس */,,ar,,19681805,19681994,main,144210,,,2016-05-20 22:51:30,الحرب على غزة 2014,فلسطين بلادي,
,/* 28 يوليو */,,ar,,19681788,19681805,main,142317,,,2016-05-20 22:44:45,الحرب على غزة 2014,فلسطين بلادي,
,,,ar,,19660025,19681788,main,140954,,,2016-05-20 22:41:05,الحرب على غزة 2014,فلسطين بلادي,
,بوت التصانیف المعادلة (25) +ترتيب (۸.۶): + [[تصنيف:هجمات إسرائيلية ضد قطاع غزة]],,ar,,18545548,19660025,main,139626,,,2016-05-20 13:42:49,الحرب على غزة 2014,ZkBot,
,/* مراجع */,,ar,,18019066,18545548,main,139561,,,2016-02-24 15:24:36,الحرب على غزة 2014,Warda99,
,بوت :عنونت مرجع غير معنون [[ar:%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9%3A%D9%87%D9%88%D8%A7%D9%85%D8%B4%20%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A7%D8%AA|لمعرفة المزيد]],,ar,,17236682,18019066,main,139524,,,2016-01-14 05:51:15,الحرب على غزة 2014,JarBot,
,روبوت:+[[تصنيف:قطاع غزة]],,ar,,16981482,17236682,main,139453,,,2015-10-14 13:39:10,الحرب على غزة 2014,ASammourBot,
,بوت [[مستخدم:Elph/التصانیف المعادلة|التصانيف المعادلة (26)]],,ar,,16862326,16981482,main,139409,,,2015-09-14 15:23:04,الحرب على غزة 2014,ZkBot,
,تهذيب  باستخدام [[Project:أوب|أوب]],,ar,,16708535,16862326,main,139333,,,2015-09-05 11:05:07,الحرب على غزة 2014,ZkBot,
,/* مؤتمر اعمار غزة */ تدقيق لغوي,,ar,,16708488,16708535,main,139480,,,2015-08-24 15:02:22,الحرب على غزة 2014,Warda99,
,/* 24 أغسطس */,,ar,,16708482,16708488,main,139505,,,2015-08-24 14:49:18,الحرب على غزة 2014,Warda99,
,/* 20 أغسطس */,,ar,,16708448,16708482,main,138895,,,2015-08-24 14:47:36,الحرب على غزة 2014,Warda99,
,/* 30 يوليو */,,ar,,16708433,16708448,main,138271,,,2015-08-24 14:40:39,الحرب على غزة 2014,Warda99,
,/* 28 يوليو */,,ar,,16708395,16708433,main,137350,,,2015-08-24 14:36:37,الحرب على غزة 2014,Warda99,
,/* 26 يوليو (اليوم 20) */,,ar,,16708363,16708395,main,136776,,,2015-08-24 14:23:41,الحرب على غزة 2014,Warda99,
,/* 24 يوليو */,,ar,,16708350,16708363,main,136303,,,2015-08-24 14:18:31,الحرب على غزة 2014,Warda99,
,/* 23 يوليو */,,ar,,16708340,16708350,main,135438,,,2015-08-24 14:14:37,الحرب على غزة 2014,Warda99,
,/* 20 يوليو */,,ar,,16708320,16708340,main,134798,,,2015-08-24 14:12:12,الحرب على غزة 2014,Warda99,
,/* 14 يوليو */ توسيع,,ar,,16602533,16708320,main,133979,,,2015-08-24 14:09:13,الحرب على غزة 2014,Warda99,
,,,ar,,16525499,16602533,main,133343,,,2015-08-10 19:36:44,الحرب على غزة 2014,Adil2015adil,
,/* 8 يوليو */,,ar,,16265208,16525499,main,133327,,,2015-08-04 11:43:55,الحرب على غزة 2014,Marco 2 en,
,إزالة وصلات إلى [[وب:ملحق|نطاق ملحق]]..,,ar,,16253481,16265208,main,133275,,,2015-07-02 02:43:17,الحرب على غزة 2014,SHBot,
,بوت [[مستخدم:Elph/التصانیف المعادلة#٢٥|التصانيف المعادلة (٢٥)]] : + [[تصنيف:الحرب على غزة]],,ar,,16253463,16253481,main,133311,,,2015-07-01 06:00:45,الحرب على غزة 2014,ZkBot,
,حذف [[تصنيف:الحرب على غزة]]، إضافة [[تصنيف:الحرب على غزة  2014]] باستخدام [[ويكيبيديا:المصناف الفوري|المصناف الفوري]],,ar,,16217096,16253463,main,133271,,,2015-07-01 05:50:35,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,[[مستخدم:وهراني/ربط بالبوابات المعادلة|روبوت]] - اضافة لشريط البوابات : الصراع العربي الإسرائيلي (62703),,ar,,15609293,16217096,main,133265,,,2015-06-25 00:10:11,الحرب على غزة 2014,MaraBot,
,بوت [[مستخدم:Elph/التصانیف المعادلة#٢٥|التصانيف المعادلة (٢٥)]] +عنوان+تنظيف (۸.۶): + [[تصنيف:الحرب على غزة]],,ar,,15584712,15609293,main,133217,,,2015-04-17 03:35:24,الحرب على غزة 2014,ZkBot,
,[[WPCleaner|WPCleaner]] v1.35b - باستخدام [[وب:فو]] (Useless word template inside a template),,ar,,15541790,15584712,main,134293,,,2015-04-15 16:18:50,الحرب على غزة 2014,ZkBot,
,,,ar,,15536911,15541790,main,134302,,,2015-04-13 10:02:12,الحرب على غزة 2014,Bassammahdi,
,[[مستخدم:وهراني/ربط بالبوابات المعادلة|روبوت]] - اضافة لشريط البوابات : عقد 2010 (57125),,ar,,15308201,15536911,main,134266,,,2015-04-12 14:47:45,الحرب على غزة 2014,MaraBot,
,,,ar,,15308025,15308201,main,134254,,,2015-03-20 15:17:24,الحرب على غزة 2014,Ahmad20012001,
,/* 29 يوليو */,,ar,,15307929,15308025,main,134107,,,2015-03-20 14:54:28,الحرب على غزة 2014,Ahmad20012001,
,/* 29 يوليو */,,ar,,15307916,15307929,main,134078,,,2015-03-20 14:46:00,الحرب على غزة 2014,Ahmad20012001,
,/* 29 يوليو */,,ar,,15042033,15307916,main,134082,,,2015-03-20 14:45:23,الحرب على غزة 2014,Ahmad20012001,
,/* ردود الفعل */,,ar,,14821290,15042033,main,134036,,,2015-02-27 14:51:42,الحرب على غزة 2014,Sakiv,
,/* 25 يوليو */تدقيق لغوي/تصحيح إملائي، استبدل: احمد ← أحمد  باستخدام [[Project:أوب|أوب]],,ar,,14734825,14821290,main,134032,,,2015-01-25 11:06:40,الحرب على غزة 2014,Bakkouz,
,لم يعد حدث جاري,,ar,,14629658,14734825,main,134032,,,2015-01-15 02:56:35,الحرب على غزة 2014,أحمد توفيق,
,"تمت إزالة الملف Shuja'iyya_20.07.2014.mp4_snapshot_01.05.jpg من هنا كونه حذف من مشروع كومنز بواسطة Dharmadhyaksha بسبب Copyright violation, see [[commons:Commons:Licensing]]",,ar,,14574090,14629658,main,134052,,,2014-12-31 10:48:12,الحرب على غزة 2014,CommonsDelinker,
,/* مراجع */,,ar,,14551589,14574090,main,134335,,,2014-12-21 18:39:57,الحرب على غزة 2014,Uishaki,
,تدقيق إملائي يستهدف همزات القطع ([[User:OKBot/إملاء/همزات قطع|المزيد]]),,ar,,14194396,14551589,main,134322,,,2014-12-19 00:46:14,الحرب على غزة 2014,OKBot,
,/* طالع أيضا */,,ar,,14183254,14194396,main,134322,,,2014-10-12 15:36:55,الحرب على غزة 2014,Justwiki,
,(Script) [[commons:COM:FR|File renamed]]: [[File:Massive protest against Israel attack to Gaza in Berlin..jpg]] → [[File:Massive protest against Israel attack to Gaza in Berlin.jpg]],,ar,,13993923,14183254,main,134057,,,2014-10-10 11:43:10,الحرب على غزة 2014,Denniss,
,تعتيم,,ar,,13984823,13993923,main,134058,,,2014-09-13 13:51:01,الحرب على غزة 2014,Marco 2 en,
,[[WPCleaner|WPCleaner]] v1.33b - باستخدام [[وب:فو]] (انقطاع في القائمة),,ar,,13950366,13984823,main,133574,,,2014-09-12 07:36:40,الحرب على غزة 2014,ZkBot,
,لا يوجد شيء اسمه 1 شهر,,ar,,13948856,13950366,main,133579,,,2014-09-06 00:33:09,الحرب على غزة 2014,Uishaki,
,تعديل طفيف,,ar,,13948809,13948856,main,133670,,,2014-09-05 16:36:03,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13923618,13948809,main,133662,,,2014-09-05 16:30:33,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13923602,13923618,main,133588,,,2014-09-02 22:10:36,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13913966,13923602,main,133468,,,2014-09-02 22:07:42,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13913437,13913966,main,133233,,,2014-09-01 17:39:57,الحرب على غزة 2014,Mohatatou,
,استرجاع تعديلات [[خاص:مساهمات/Mohatatou|Mohatatou]] ([[نقاش المستخدم:Mohatatou|نقاش]]) حتى آخر نسخة بواسطة [[مستخدم:Uishaki|Uishaki]],,ar,,13913310,13913437,main,133233,,,2014-09-01 14:28:01,الحرب على غزة 2014,Uishaki,
,تعديل طفيف,,ar,,13913294,13913310,main,133244,,,2014-09-01 13:55:46,الحرب على غزة 2014,Mohatatou,
,[[وب:رجوع|الرجوع]] عن تعديل معلق واحد من [[خاص:مساهمات/Uishaki|Uishaki]] إلى نسخة 13909704 من Mohatatou.,,ar,,13911969,13913294,main,133233,,,2014-09-01 13:51:32,الحرب على غزة 2014,Mohatatou,
,الرجوع عن التعديل 13909704 بواسطة [[Special:Contributions/Mohatatou|Mohatatou]] ([[User talk:Mohatatou|نقاش]]),,ar,,13909704,13911969,main,133233,,,2014-09-01 12:56:21,الحرب على غزة 2014,Uishaki,
,تعديل طفيف,,ar,,13905839,13909704,main,133233,,,2014-09-01 11:40:05,الحرب على غزة 2014,Mohatatou,
,استرجاع تعديلات [[خاص:مساهمات/محمد حوحو|محمد حوحو]] ([[نقاش المستخدم:محمد حوحو|نقاش]]) حتى آخر نسخة بواسطة [[مستخدم:Mohatatou|Mohatatou]],,ar,,13903101,13905839,main,133233,,,2014-08-31 15:00:05,الحرب على غزة 2014,Uishaki,
,/* تقرير المرصد الأورومتوسطي لحقوق الإنسان */,,ar,,13903091,13903101,main,133233,,,2014-08-31 04:37:36,الحرب على غزة 2014,محمد حوحو,
,/* تقرير المرصد الأورومتوسطي لحقوق الإنسان */,,ar,,13903073,13903091,main,133233,,,2014-08-31 04:35:33,الحرب على غزة 2014,محمد حوحو,
,/* تقرير المرصد الأورومتوسطي لحقوق الإنسان */,,ar,,13903053,13903073,main,133233,,,2014-08-31 04:30:44,الحرب على غزة 2014,محمد حوحو,
,,,ar,,13903047,13903053,main,133233,,,2014-08-31 04:25:50,الحرب على غزة 2014,محمد حوحو,
,/* الخسائر البشرية */,,ar,,13892967,13903047,main,133233,,,2014-08-31 04:24:42,الحرب على غزة 2014,محمد حوحو,
,تعديل طفيف,,ar,,13892925,13892967,main,133233,,,2014-08-30 12:13:47,الحرب على غزة 2014,Mohatatou,
,تحيين وتطوير,,ar,,13892257,13892925,main,132925,,,2014-08-30 12:11:59,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13891938,13892257,main,129858,,,2014-08-30 11:36:02,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13891876,13891938,main,129857,,,2014-08-30 11:16:59,الحرب على غزة 2014,Mohatatou,
,تعديل طفيف,,ar,,13877214,13891876,main,129857,,,2014-08-30 11:12:30,الحرب على غزة 2014,Mohatatou,
,,,ar,,13868605,13877214,main,129767,,,2014-08-29 02:39:44,الحرب على غزة 2014,Uishaki,
,الدعم مقدم من امريكا وايران فقط,,ar,,13867508,13868605,main,129735,,,2014-08-27 19:20:16,الحرب على غزة 2014,Uishaki,
,تعديل طفيف,,ar,,13867423,13867508,main,131770,,,2014-08-27 18:01:35,الحرب على غزة 2014,Mohatatou,
,تحيين,,ar,,13866710,13867423,main,131122,,,2014-08-27 17:36:54,الحرب على غزة 2014,Mohatatou,
,تحيين,,ar,,13865938,13866710,main,129735,,,2014-08-27 16:08:11,الحرب على غزة 2014,Mohatatou,
,/* التسلسل الزمني */ توحيد التنسيق,,ar,,13865902,13865938,main,129599,,,2014-08-27 14:00:34,الحرب على غزة 2014,Dr-Taher,
,إضافة موثقة,,ar,,13865716,13865902,main,129532,,,2014-08-27 13:48:34,الحرب على غزة 2014,Dr-Taher,
,,,ar,,13859458,13865716,main,128937,,,2014-08-27 12:49:45,الحرب على غزة 2014,Uishaki,
,,,ar,,13859299,13859458,main,128936,,,2014-08-26 18:53:03,الحرب على غزة 2014,Uishaki,
,,,ar,,13846360,13859299,main,128608,,,2014-08-26 18:43:46,الحرب على غزة 2014,Uishaki,
,تحيين وتطوير,,ar,,13841733,13846360,main,129195,,,2014-08-24 20:42:54,الحرب على غزة 2014,Mohatatou,
,Reverted to revision 13822655 by محمد أحمد عبد الفتاح. ([[ويكيبيديا:الوميض|الوميض]]),,ar,,13832349,13841733,main,128217,,,2014-08-23 19:01:49,الحرب على غزة 2014,Uishaki,
,[[WPCleaner|WPCleaner]] v1.33b - باستخدام [[وب:فو]] (مقالات فيها أحرف تحكم يونيكود),,ar,,13824043,13832349,main,128513,,,2014-08-22 09:18:37,الحرب على غزة 2014,ZkBot,
,/* 1 أغسطس */,,ar,,13822655,13824043,main,128516,,,2014-08-20 21:01:56,الحرب على غزة 2014,Justwiki,
,تحديث أعداد القتلى والمصابين الفلسطينيين,,ar,,13794173,13822655,main,128217,,,2014-08-20 18:36:36,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,(Script) [[commons:COM:FR|File renamed]]: [[File:Massacre in Shuja'iyya 20.07.2014.mp4 snapshot 01.05.jpg]] → [[File:Shuja'iyya 20.07.2014.mp4 snapshot 01.05.jpg]] No Massacre on both sides.,,ar,,13732739,13794173,main,127980,,,2014-08-16 19:24:51,الحرب على غزة 2014,Matanya,
,تحديث عدد ايام الحرب,,ar,,13725686,13732739,main,127992,,,2014-08-09 12:33:59,الحرب على غزة 2014,Mutasim0hourani,
,,,ar,,13725299,13725686,main,127984,,,2014-08-08 02:00:08,الحرب على غزة 2014,Uishaki,
,,,ar,,13725290,13725299,main,127476,,,2014-08-07 22:37:21,الحرب على غزة 2014,يسري عطية,
,,,ar,,13722778,13725290,main,127309,,,2014-08-07 22:35:08,الحرب على غزة 2014,يسري عطية,
,[[ميدياويكي:Gadget-RenommageCategorie|نقل تصنيفات]]: تعديل [[تصنيف:عمليات عسكرية إسرائيلية]] إلى [[تصنيف:عمليات إسرائيل العسكرية]],,ar,,13693239,13722778,main,127476,,,2014-08-07 12:01:45,الحرب على غزة 2014,Muhends,
,/* مراجع */ تنسيق ويكي:ترتيب,,ar,,13678959,13693239,main,127476,,,2014-08-03 13:57:30,الحرب على غزة 2014,ديفيد,
,/* التسلسل الزمني */ 1 أغسطس,,ar,,13673745,13678959,main,127475,,,2014-08-02 06:09:31,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,زيادة عدد قتلى الجيش الإسرائيلي إلى 61,,ar,,13673591,13673745,main,125523,,,2014-08-01 03:35:13,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,,,ar,,13673589,13673591,main,125053,,,2014-08-01 02:21:38,الحرب على غزة 2014,Uishaki,
,أمريكا دعم إسرائيل بالسلاح,,ar,,13673135,13673589,main,125052,,,2014-08-01 02:19:13,الحرب على غزة 2014,Uishaki,
,/* 30 يوليو */ العدد الدقيق للقتلى ومرجع,,ar,,13672765,13673135,main,124418,,,2014-07-31 23:23:36,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,تحيين,,ar,,13672191,13672765,main,124057,,"mobile edit,mobile web edit",2014-07-31 20:57:35,الحرب على غزة 2014,Mohatatou,
,نقل Meno25 صفحة [[الحرب على غزة (2014)]] إلى [[الحرب على غزة 2014]] على تحويلة: إزالة الأقواس,,ar,,13669398,13672191,main,123713,,,2014-07-31 17:37:34,الحرب على غزة 2014,Meno25,
,,,ar,,13668862,13669398,main,123713,,,2014-07-31 14:19:23,الحرب على غزة 2014,Uishaki,
,/* 29 يوليو (اليوم 23) */,,ar,,13668846,13668862,main,123767,,,2014-07-31 13:50:35,الحرب على غزة 2014,Marco 2 en,
,/* 16 يوليو */,,ar,,13668787,13668846,main,123783,,,2014-07-31 13:49:39,الحرب على غزة 2014,Marco 2 en,
,/* 26 يوليو */,,ar,,13668755,13668787,main,123767,,,2014-07-31 13:46:57,الحرب على غزة 2014,Marco 2 en,
,/* 29 يوليو (23) */,,ar,,13668661,13668755,main,123751,,,2014-07-31 13:45:34,الحرب على غزة 2014,Marco 2 en,
,/* 29 يوليو */,,ar,,13667122,13668661,main,123300,,,2014-07-31 13:42:21,الحرب على غزة 2014,Marco 2 en,
,/* 30 يوليو */,,ar,,13667073,13667122,main,122519,,,2014-07-31 12:39:13,الحرب على غزة 2014,Marco 2 en,
,/* 30 يوليو */,,ar,,13666964,13667073,main,122038,,,2014-07-31 12:37:44,الحرب على غزة 2014,Marco 2 en,
,,,ar,,13666730,13666964,main,121275,,,2014-07-31 12:34:06,الحرب على غزة 2014,Marco 2 en,
,,,ar,,13666616,13666730,main,121162,,,2014-07-31 12:27:16,الحرب على غزة 2014,Marco 2 en,
,رابط خطأ لاسم,,ar,,13666396,13666616,main,121380,,,2014-07-31 12:22:47,الحرب على غزة 2014,Marco 2 en,
,اختصارات,,ar,,13666302,13666396,main,121397,,,2014-07-31 12:16:00,الحرب على غزة 2014,Marco 2 en,
,/* 30 يوليو */,,ar,,13666279,13666302,main,121364,,,2014-07-31 12:09:08,الحرب على غزة 2014,Marco 2 en,
,/* 26 يوليو */,,ar,,13666143,13666279,main,121300,,,2014-07-31 12:05:47,الحرب على غزة 2014,Marco 2 en,
,/* ردود الفعل */ إضافة بوليفيا,,ar,,13663638,13666143,main,120650,,,2014-07-31 11:43:25,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,/* ردود الفعل */ المالديف تقاطع إسرائيل اقتصاديا,,ar,,13659595,13663638,main,119793,,,2014-07-31 01:48:22,الحرب على غزة 2014,Osa osa 5,
,/* التحركات الشعبية */,,ar,,13653014,13659595,main,119002,,,2014-07-30 21:26:34,الحرب على غزة 2014,Uishaki,
,/* التحركات الشعبية */,,ar,,13653011,13653014,main,118944,,,2014-07-30 14:31:45,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,/* التحركات الشعبية */ إسبانيا: بيان الثقافة,,ar,,13652415,13653011,main,118943,,,2014-07-30 14:30:24,الحرب على غزة 2014,محمد أحمد عبد الفتاح,
,تدقيق إملائي يستهدف همزات القطع ([[User:OKBot/إملاء/همزات قطع|المزيد]]),,ar,,13646923,13652415,main,117874,,,2014-07-30 13:38:41,الحرب على غزة 2014,OKBot,
,ليس هذا اسمها بالعبرية، بس اسم أطلقه الاحتلال كما تذكر المقدمة لاحقا,,ar,,13637514,13646923,main,117874,,,2014-07-30 04:35:38,الحرب على غزة 2014,OsamaK,
,تدقيق إملائي يستهدف حروف الجر ([[User:OKBot/إملاء/حروف الجر|المزيد]]),,ar,,13631101,13637514,main,117935,,,2014-07-28 23:08:20,الحرب على غزة 2014,OKBot,
,تدقيق إملائي يستهدف همزات القطع ([[User:OKBot/إملاء/همزات قطع|المزيد]]),,ar,,13616883,13631101,main,117935,,,2014-07-28 11:24:07,الحرب على غزة 2014,OKBot,
,تعديل طفيف,,ar,,13615402,13616883,main,117935,,,2014-07-27 16:32:41,الحرب على غزة 2014,Mohatatou,
,,,ar,,13613099,13615402,main,117798,,,2014-07-27 15:47:36,الحرب على غزة 2014,زكريا,
,/* أسلحة ومفاجآت */,,ar,,13613039,13613099,main,118673,,,2014-07-27 14:31:25,الحرب على غزة 2014,سامي الرحيلي,
,/* 9 يوليو */,,ar,,13612979,13613039,main,118680,,,2014-07-27 14:25:22,الحرب على غزة 2014,سامي الرحيلي,
,/* 9 يوليو */,,ar,,13612589,13612979,main,118674,,,2014-07-27 14:18:14,الحرب على غزة 2014,سامي الرحيلي,
,,,ar,,13612574,13612589,main,118669,,,2014-07-27 13:36:42,الحرب على غزة 2014,Uishaki,
,,,ar,,13608051,13612574,main,117550,,,2014-07-27 13:34:57,الحرب على غزة 2014,Uishaki,
,/* خلفية */,,ar,,13603541,13608051,main,118665,,,2014-07-27 05:48:27,الحرب على غزة 2014,بدارين,
,,,ar,,13603480,13603541,main,117546,,,2014-07-26 20:08:41,الحرب على غزة 2014,Mohamed Ouda,
,/* 26 يوليو */,,ar,,13603457,13603480,main,117535,,,2014-07-26 20:03:04,الحرب على غزة 2014,Osa osa 5,
