lang,link
ar,http://aljazeera.net/news/arabic/2014/8/2/%D8%A7%D9%84%D9%82%D8%B3%D8%A7%D9%85-%D9%84%D8%A7-%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D9%84%D8%AF%D9%8A%D9%86%D8%A7-%D8%B9%D9%86-%D8%A7%D9%84%D8%AC%D9%86%D8%AF%D9%8A-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A7%D9%84%D9%85%D9%81%D9%82%D9%88%D8%AF
ar,http://aljazeera.net/news/cultureandart/2014/7/29/%D9%85%D8%B4%D8%A7%D9%87%D9%8A%D8%B1-%D9%8A%D8%AF%D8%B9%D9%85%D9%88%D9%86-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86-%D9%88%D9%8A%D8%AF%D9%8A%D9%86%D9%88%D9%86-%D8%AC%D8%B1%D8%A7%D8%A6%D9%85-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84
ar,http://allafrica.com/stories/201407241050.html
ar,http://almashhad.net/News/%D8%B9%D8%B1%D8%A8%D9%89/%D8%A7%D9%84%D9%86%D8%B1%D9%88%D9%8A%D8%AC-%D8%AA%D8%B9%D8%B1%D8%A8-%D8%B9%D9%86-%D9%82%D9%84%D9%82%D9%87%D8%A7-%D8%A7%D9%84%D8%A8%D8%A7%D9%84%D8%BA-%D8%A5%D8%B2%D8%A7%D8%A1-%D8%AA%D8%B5%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB-%D9%81%D9%8A/752347.aspx
ar,http://almesryoon.com/%D8%AF%D9%81%D8%AA%D8%B1-%D8%A3%D8%AD%D9%88%D8%A7%D9%84-%D8%A7%D9%84%D9%88%D8%B7%D9%86/519139-%D9%88%D9%81%D8%AF-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A8%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9-%D9%84%D8%A8%D8%AD%D8%AB-%D9%88%D9%82%D9%81-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1
ar,http://alresalah.ps/ar/index.php?act=post&id=97625
ar,http://alresalah.ps/ar/index.php?act=post&id=97624
ar,http://alresalah.ps/ar/index.php?act=post&id=97985
ar,http://alwafd.org/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B9%D8%A7%D8%AC%D9%84%D8%A9/711656-%D8%B3%D8%B1%D8%A7%D9%8A%D8%A7-%D8%A7%D9%84%D9%82%D8%AF%D8%B3-%D8%AA%D8%B9%D9%84%D9%86-%D8%AA%D9%81%D8%AC%D9%8A%D8%B1-%D8%AF%D8%A8%D8%A7%D8%A8%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9
ar,http://ara.reuters.com/article/topNews/idARAKBN0FH03320140712
ar,http://ara.reuters.com/article/topNews/idARAKBN0FD23F20140708
ar,http://ara.reuters.com/article/topNews/idARAKBN0FD13O20140708
ar,http://arabic.arabia.msn.com/news/middle-east/11513498/
ar,http://arabic.cnn.com/middleeast/2014/07/11/hamas-israel-gaza-updates
ar,http://arabic.cnn.com/middleeast/2014/07/24/gaza-israel-un-shelter-strike
ar,http://arabic.cnn.com/middleeast/2014/07/22/israel-finds-hamas-are-no-longer-amateur-fighters?utm_source=twitterfeed&utm_medium=twitter
ar,http://arabic.cnn.com/middleeast/2014/07/08/mideast-tensions-new?utm_medium=twitter&utm_source=twitterfeed
ar,http://arabic.cnn.com/middleeast/2014/08/01/gaza-humanitarian-cease-fire
ar,http://arabic.pnn.ps/index.php/policy/92992-%D9%85%D8%B5%D8%AF%D8%B1-%D9%85%D8%B5%D8%B1%D9%8A-%D8%A7%D9%84%D8%AA%D9%88%D8%B5%D9%84-%D9%84%D8%AA%D9%87%D8%AF%D8%A6%D8%A9-%D8%A7%D8%B9%D8%AA%D8%A8%D8%A7%D8%B1%D8%A7-%D9%85%D9%86-%D8%A7%D9%84%D8%AA%D8%A7%D8%B3%D8%B9%D8%A9-%D9%85%D9%86-%D8%B5%D8%A8%D8%A7%D8%AD-%D8%A7%D9%84%D8%BA%D8%AF-%D8%A7%D9%84%D8%AB%D9%84%D8%A7%D8%AB%D8%A7%D8%A1
ar,http://arabic.pnn.ps/index.php/policy/93777-%D9%85%D9%88%D8%AC%D9%87%D8%A7%D8%AA-%D8%B9%D9%86%D9%8A%D9%81%D8%A9-%D8%AA%D8%B4%D9%87%D8%AF%D9%87%D8%A7-%D9%85%D8%AF%D9%86-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D8%B4%D9%8A%D8%A9-%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%A7%D9%84%D8%B7%D9%81%D9%84-%D9%85%D8%AD%D9%85%D8%AF-%D8%A3%D8%A8%D9%88-%D8%AE%D8%B6%D9%8A%D8%B1-%D8%B9%D9%84%D9%89-%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D8%B7%D9%86%D9%8A%D9%86
ar,http://articles.chicagotribune.com/2012-11-24/news/sns-rt-us-palestinians-israel-hamasbre8ad0wp-20121114_1_gaza-curbs-gaza-fishermen-hamas-leader
ar,http://cameroonvoice.com/news/article-news-15918.html
ar,http://d-nb.info/gnd/1059754894
ar,http://elbashayeronline.com/news-391521.html
ar,http://elgornal.net/news/news.aspx?id=5147306
ar,http://english.aljazeera.net/indepth/opinion/2011/09/2011978161147706.html
ar,http://felesteen.ps/details/news/119695/%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%88%D9%86-%D9%8A%D9%86%D8%AA%D9%81%D8%B6%D9%88%D9%86-%D8%B9%D9%82%D8%A8-%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D8%AF%D9%87%D8%B3%D8%A7%D9%8B.html
ar,http://felesteen.ps/details/news/119974/%D8%AE%D9%85%D8%B3%D8%A9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%A8%D8%AD%D9%82-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D8%BA%D9%86%D8%A7%D9%85-%D8%A8%D8%B1%D9%81%D8%AD.html
ar,http://felesteen.ps/details/news/120414/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%82%D8%B5%D9%81-%D9%85%D9%86%D8%B2%D9%84-%D8%A7%D9%84%D9%82%D8%A7%D8%A6%D8%AF-%D9%81%D9%8A-%D8%AD%D9%85%D8%A7%D8%B3-%D8%AE%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%AD%D9%8A%D8%A9-%D8%A8.html
ar,http://felesteen.ps/details/news/120672/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A7%D9%84%D8%A3%D9%82%D8%B5%D9%89.html
ar,http://fr.africatime.com/niger/articles/le-niger-condamne-les-frappes-israeliennes-sur-gaza
ar,http://gate.ahram.org.eg/NewsContent/13/87/512241/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/%D8%B5%D8%AD%D8%A7%D9%81%D8%A9-%D9%88-%D8%AA%D9%88%D9%83-%D8%B4%D9%88/%D8%AC%D9%8A%D8%B1%D9%88%D8%B2%D8%A7%D9%84%D9%8A%D9%85-%D8%A8%D9%88%D8%B3%D8%AA-%D8%A5%D8%B7%D9%84%D8%A7%D9%82--%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE-%D9%85%D9%86-%D9%82%D8%B7%D8%A7%D8%B9--%D8%B9%D9%84%D9%89-%D8%AC%D9%86%D9%88%D8%A8-.aspx
ar,http://iaanews.com/News/76046/%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%AE%D8%B2%D8%A7%D8%B9%D8%A9-29-%D8%B4%D9%87%D9%8A%D8%AF-%D9%88%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D9%88%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D8%AA%D8%AD%D8%AA%D8%AC%D8%B2-12-%D9%85%D8%B3%D8%B9%D9%81%D8%A7
ar,http://iaanews.com/News/76174/%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D9%84-132-%D8%B4%D9%87%D9%8A%D8%AF-%D9%85%D9%86-%D8%AA%D8%AD%D8%AA-%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D8%AA-%D8%A7%D9%84%D9%85%D8%AF%D9%85%D8%B1%D8%A9-%D9%8A%D8%B1%D9%81%D8%B9-%D8%B9%D8%AF%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%A5%D9%84%D9%89-1030-%D8%B4%D9%87%D9%8A%D8%AF
ar,http://id.loc.gov/authorities/subjects/sh2016001997
ar,http://live.reuters.com/Event/Conflict_on_the_Gaza_Strip/57460762
ar,http://m.aljazeera.com/story/2014730233016747143
ar,http://newhub.shafaqna.com/AR/JO/1166870
ar,http://news.bbc.co.uk/2/hi/middle_east/7838618.stm
ar,http://news.nawaret.com/%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A/%D8%A7%D9%84%D9%82%D8%B3%D8%A7%D9%85-%D9%82%D8%B5%D9%81-%D9%85%D8%B7%D8%A7%D8%B1-%D9%86%D9%8A%D9%81%D8%A7%D8%AA%D9%8A%D9%85-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%89-%D8%A7%D9%84%D8%A5%D8%B3
ar,http://onaeg.com/?p=1779895
ar,http://onaeg.com/?p=1783862
ar,http://paltimes.net/details/news/62210/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D8%A4%D8%AC%D9%84-%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D8%A7%D8%AC-%D8%B9%D9%86-%D8%AF%D9%81%D8%B9%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D9%89-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9.html
ar,http://paltimes.net/details/news/69781/%D8%A7%D9%84%D8%B9%D8%B5%D9%81-%D8%A7%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84-%D8%A3%D8%A8%D9%88-%D8%B9%D8%A8%D9%8A%D8%AF%D8%A9-%D9%84%D9%8A%D8%B9%D9%84%D9%88%D9%86-%D8%A3%D8%AA%D9%87%D8%AF%D8%AF%D9%86%D8%A7-%D8%A8%D9%85%D8%A7-%D9%86%D9%86%D8%AA%D8%B8%D8%B1-%D9%8A%D8%A7-%D8%A8%D9%86-%D8%A7%D9%84%D9%8A%D9%87%D9%88%D8%AF%D9%8A%D8%A9.html
ar,http://paltoday.ps/ar/post/203874/%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D8%AA%D8%B1%D8%AA%D9%83%D8%A8-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D9%83%D8%A8%D9%8A%D8%B1%D8%A9-%D8%AC%D8%B1%D8%A7%D8%A1-%D9%82%D8%B5%D9%81-%D9%85%D9%86%D8%B2%D9%84-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%83%D9%88%D8%A7%D8%B1%D8%B9-%D8%AC%D9%86%D9%88%D8%A8-%D9%82%D8%B7%D8%A7%D8%B9-
ar,http://paltoday.ps/ar/post/204022/%D9%85%D9%84%D8%A7%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D8%A7%D8%AC%D8%A6
ar,http://paltoday.ps/ar/post/204426/%D9%83%D8%AA%D8%A7%D8%A6%D8%A8-%D8%A7%D9%84%D9%82%D8%B3%D8%A7%D9%85-%D8%AA%D9%82%D8%B5%D9%81-%D9%84%D8%A3%D9%88%D9%84-%D9%85%D8%B1%D8%A9-%D9%85%D8%B7%D8%A7%D8%B1-%D8%B1%D9%8A%D9%85%D9%88%D9%86-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A-%D9%88%D8%AA%D8%B9%D8%A7%D9%88%D8%AF-%D9%82%D8%B5%D9%81-%D8%AA%D9%84-%D8%A3%D8%A8%D9%8A%D8%A8
ar,http://paltoday.ps/ar/post/205390/%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D8%AA%D8%AF%D9%85%D8%B1-%D9%85%D9%86%D8%B2%D9%84-%D8%A3%D8%A8%D9%88-%D8%AC%D9%87%D8%A7%D8%AF-%D8%AD%D9%85%D9%8A%D8%AF-%D9%81%D9%8A-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A8%D8%A6%D8%B1-%D8%A7%D9%84%D9%86%D8%B9%D8%AC%D8%A9-%D8%B4%D9%85%D8%A7%D9%84-%D9%82%D8%B7%D8%A7%D8%B9-
ar,http://paltoday.ps/ar/post/206753/3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D9%85%D8%AF%D9%81%D8%B9%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D8%A8%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D9%86%D8%AF%D9%89-%D8%B4%D9%85%D8%A7%D9%84-%D9%82%D8%B7%D8%A7%D8%B9-
ar,http://paltoday.ps/ar/post/207556/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%85%D9%86%D8%B2%D9%84-%D8%A3%D8%A8%D9%88-%D8%AC%D8%A7%D9%85%D8%B9-%D8%A8%D8%AE%D8%A7%D9%86%D9%8A%D9%88%D9%86%D8%B3-%D8%A5%D9%84%D9%8925-%D8%B4%D9%87%D9%8A%D8%AF
ar,http://paltoday.ps/ar/post/207809/%D9%85%D9%86%D8%B0-%D9%81%D8%AC%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-13-%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-60-%D8%AC%D8%B1%D9%8A%D8%AD%D8%A7
ar,"http://panet.co.il/online/articles/110/111/S-828253,110,111.html"
ar,http://pflp.ps/ar/post/7819/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%84%D8%BA%D9%8A-%D8%A7%D9%84%D8%A7%D9%81%D8%B1%D8%A7%D8%AC-%D8%B9%D9%86-%D8%AF%D9%81%D8%B9%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D9%89-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9
ar,http://r2eq.com/11563.html
ar,http://rassd.com/22-102033_%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE_%D8%A7%D9%84%D9%82%D8%B3%D8%A7%D9%85%D8%8C_J80_%D9%88_R160_%D8%AA%D8%B7%D9%88%D8%B1_%D9%86%D9%88%D8%B9%D9%8A_%D9%84%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9%D8%9F
ar,http://royanews.tv/articles/%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%AA%D9%83%D8%B4%D9%81-3-%D8%A3%D9%86%D9%88%D8%A7%D8%B9-%D9%85%D9%86-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D9%87%D8%AC%D9%88%D9%85%D9%8A%D8%A9-%D9%88%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9%D9%8A%D8%A9-%D9%88%D8%A7%D9%86%D8%AA%D8%AD%D8%A7%D8%B1%D9%8A%D8%A9--%D8%B7%D8%A7%D9%84%D8%B9-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84
ar,http://safa.ps/details/news/132100/%D9%83%D9%88%D9%85%D8%A7%D9%86%D8%AF%D9%88%D8%B2-%D9%82%D8%B3%D8%A7%D9%85%D9%8A-%D9%8A%D9%82%D8%AA%D8%AD%D9%85-%D9%82%D8%A7%D8%B9%D8%AF%D8%A9-%D8%B2%D9%8A%D9%83%D9%8A%D9%85-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9.html
ar,http://safa.ps/details/news/132156/%D8%AD%D8%B1%D9%8A%D9%82-%D9%87%D8%A7%D8%A6%D9%84-%D9%81%D9%8A-%D8%B4%D8%A7%D8%B9%D8%B1-%D9%87%D9%86%D9%8A%D8%BA%D9%8A%D9%81-%D8%AC%D8%B1%D8%A7%D8%A1-%D8%B3%D9%82%D9%88%D8%B7-%D8%B5%D8%A7%D8%B1%D9%88%D8%AE.html
ar,http://uk.reuters.com/article/idUSL2849170120080528
ar,http://web.archive.org/web/20140713061310/http://onaeg.com:80/?p=1783862
ar,http://web.archive.org/web/20140714122415/http://www.maannews.net/arb/ViewDetails.aspx?ID=711408
ar,http://web.archive.org/web/20140714142556/http://www.maannews.net/arb/ViewDetails.aspx?ID=711424
ar,http://web.archive.org/web/20140714145650/http://www.maannews.net/arb/ViewDetails.aspx?ID=711915
ar,http://web.archive.org/web/20140714150200/http://www.maannews.net/arb/ViewDetails.aspx?ID=711145
ar,http://web.archive.org/web/20140714151951/http://www.maannews.net/arb/ViewDetails.aspx?ID=711000
ar,http://web.archive.org/web/20140714164552/http://www.youm7.com/News.asp?NewsID=1769544
ar,http://web.archive.org/web/20140714212219/http://www1.youm7.com/News.asp?NewsID=1766949
ar,http://web.archive.org/web/20140714220526/http://www.palinfo.com/site/pic/newsdetails.aspx?itemid=157791
ar,http://web.archive.org/web/20140714230551/http://www.maannews.net/arb/ViewDetails.aspx?ID=711368
ar,http://web.archive.org/web/20140714232940/http://www.maannews.net/arb/ViewDetails.aspx?ID=712026
ar,http://web.archive.org/web/20140714234628/http://www.maannews.net/arb/ViewDetails.aspx?ID=711028
ar,http://web.archive.org/web/20140715004840/http://www.maannews.net/Arb/ViewDetails.aspx?ID=712622
ar,http://web.archive.org/web/20140715132259/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=712374
ar,http://web.archive.org/web/20140715132442/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=712489
ar,http://web.archive.org/web/20140720204158/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=714246
ar,http://web.archive.org/web/20140721012658/http://www1.youm7.com:80/News.asp?NewsID=1775524
ar,http://web.archive.org/web/20140722015938/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=714333
ar,http://web.archive.org/web/20140722020000/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=714531
ar,http://web.archive.org/web/20140726085912/http://www.maannews.net/arb/ViewDetails.aspx?ID=716295
ar,http://web.archive.org/web/20140729002351/http://alresalah.ps/ar/index.php?act=post&id=97625
ar,http://web.archive.org/web/20140729004553/http://alresalah.ps/ar/index.php?act=post&id=97624
ar,http://web.archive.org/web/20140729134332/http://www.maannews.net:80/arb/ViewDetails.aspx?ID=715387
ar,http://web.archive.org/web/20140808201654/http://www.albawabhnews.com/690979
ar,http://web.archive.org/web/20140808214736/http://www.albawabhnews.com/691234
ar,http://web.archive.org/web/20140810053257/http://alresalah.ps/ar/index.php?act=post&id=97985
ar,http://web.archive.org/web/20140921011339/http://www.bbc.co.uk:80/arabic/worldnews/2014/07/140711_gaza_wrap.shtml
ar,http://web.archive.org/web/20141003130054/http://www.bbc.co.uk:80/arabic/middleeast/2014/07/140704_israel_gaza_rocket_raid.shtml
ar,"http://web.archive.org/web/20141006133528/http://www.panet.co.il/online/articles/110/111/S-828253,110,111.html"
ar,http://web.archive.org/web/20141009015606/http://maannews.net/arb/ViewDetails.aspx?ID=713073
ar,http://web.archive.org/web/20141022094233/http://maannews.net/arb/ViewDetails.aspx?ID=708955
ar,http://web.archive.org/web/20141023230012/http://arabic.cnn.com/middleeast/2014/07/11/hamas-israel-gaza-updates
ar,http://web.archive.org/web/20150128114200/http://www.maannews.net/arb/ViewDetails.aspx?ID=716189
ar,http://web.archive.org/web/20150402083832/http://www.wattan.tv/ar/news/98384.html
ar,http://web.archive.org/web/20150402084021/http://www.wattan.tv/ar/news/98287.html
ar,http://web.archive.org/web/20150402092123/http://www.wattan.tv/ar/news/98309.html
ar,http://web.archive.org/web/20150512145352/http://www.haaretz.com/news/diplomacy-defense/un-independent-panel-rules-israel-blockade-of-gaza-illegal-1.384267
ar,http://web.archive.org/web/20150513222259/http://www.haaretz.com/news/features/why-the-mullet-not-the-israel-navy-are-to-blame-for-the-death-of-a-gaza-fisherman.premium-1.472845
ar,http://web.archive.org/web/20150518173408/https://www.amnesty.org/en/articles/news/2015/03/palestinian-armed-groups-killed-civilians-on-both-sides-in-2014-gaza-conflict/
ar,http://web.archive.org/web/20150809181043/http://www.alwasatnews.com/4324/news/read/902867/1.html
ar,http://web.archive.org/web/20150810065339/http://www.alwasatnews.com/4333/news/read/905258/1.html
ar,http://web.archive.org/web/20150924011236/http://www.elwatannews.com/news/details/519939
ar,http://web.archive.org/web/20150924084940/http://www.raya.ps/ar/news/867957.html
ar,http://web.archive.org/web/20150926124620/http://www.anc.org.za/show.php?id=10991
ar,http://web.archive.org/web/20160304121916/http://arabic.cnn.com/middleeast/2014/07/08/mideast-tensions-new?utm_medium=twitter&utm_source=twitterfeed
ar,http://web.archive.org/web/20160304140558/http://www.albawabhnews.com/679567
ar,http://web.archive.org/web/20160304203739/http://www.dostor.org/650102
ar,http://web.archive.org/web/20160304203907/http://www.dostor.org/650111
ar,http://web.archive.org/web/20160304232022/http://www.elaph.com/Web/News/2014/6/909989.html
ar,http://web.archive.org/web/20160305012841/http://www.btselem.org/arabic/press_releases/20140709_bobming_of_houses_in_gaza
ar,http://web.archive.org/web/20160305013346/http://www.btselem.org/arabic/gaza_strip/20140713_palestinians_killed_in_illegal_attacks_on_houses
ar,http://web.archive.org/web/20160305081010/http://zamnpress.com/news/54316
ar,http://web.archive.org/web/20160307151322/http://www.vetogate.com/1114667
ar,http://web.archive.org/web/20160308170926/http://palestineafree.com/index.php?id=24501
ar,http://web.archive.org/web/20160310110425/http://www.echoroukonline.com/ara/articles/211064.html
ar,http://web.archive.org/web/20160311142804/http://shfanews.net/index.php/component/content/article/76-i/34964-i
ar,http://web.archive.org/web/20160311160047/http://shfanews.net/index.php/typography/35300-i
ar,http://web.archive.org/web/20160316093052/http://www.mixworldnews.com/2014/07/blog-post_260.html
ar,http://web.archive.org/web/20160317190244/http://www.raya.ps/ar/news/867606.html
ar,http://web.archive.org/web/20160320002358/http://www.alahednews.com.lb/fastnewsdetails.php?fstid=216605
